genreName,genreCategoryName
Classics,Classics
Fiction,Contemporary Fiction
School,Education / School
Historical Fiction,Historical Fiction
Literature,Literary Fiction
Read For School,Education / School
Novels,Literary Fiction
High School,Young Adult (YA)
American,American Literature
Historical,Nonfiction / History
19th Century,Nonfiction / History
British Literature,European / International Literature
Young Adult,Young Adult (YA)
Dystopia,Fantasy / Sci-Fi
Science Fiction,Fantasy / Sci-Fi
Fantasy,Fantasy / Sci-Fi
Childrens,Children / Middle Grade
Middle Grade,Children / Middle Grade
Spanish Literature,European / International Literature
Humor,Humor / Satire
Literary Fiction,Literary Fiction
20th Century,Nonfiction / History
Science Fiction Fantasy,Fantasy / Sci-Fi
High Fantasy,Fantasy / Sci-Fi
Epic Fantasy,Fantasy / Sci-Fi
Romance,Romance / Chick Lit
Contemporary,Contemporary Fiction
Art,Miscellaneous / Lifestyle
Adult Fiction,Contemporary Fiction
Music,Miscellaneous / Lifestyle
Witches,Fantasy / Sci-Fi
Magic,Fantasy / Sci-Fi
Coming Of Age,Young Adult (YA)
Food,Miscellaneous / Lifestyle
Mystery,Mystery / Thriller
Mystery Thriller,Mystery / Thriller
Nonfiction,Nonfiction / History
Travel,Travel / Geography / Nature
Memoir,Biography / Memoir
Nature,Travel / Geography / Nature
Biography,Biography / Memoir
Outdoors,Travel / Geography / Nature
History,Nonfiction / History
Thriller,Mystery / Thriller
Chick Lit,Romance / Chick Lit
Contemporary Romance,Romance / Chick Lit
Love,Romance / Chick Lit
Love Story,Romance / Chick Lit
Africa,European / International Literature
Picture Books,Children / Middle Grade
Kids,Children / Middle Grade
Philosophy,Essays / Philosophy
Medicine,Miscellaneous / Lifestyle
Teen,Young Adult (YA)
Young Adult Contemporary,Young Adult (YA)
French Literature,European / International Literature
Spirituality,Religion / Spirituality
Science,Science / Popular Science
Sociology,Science / Popular Science
Economics,Science / Popular Science
World History,Nonfiction / History
Geography,Travel / Geography / Nature
Psychology,Science / Popular Science
Essays,Essays / Philosophy
Religion,Religion / Spirituality
Finance,Miscellaneous / Lifestyle
Business,Miscellaneous / Lifestyle
Self Help,Miscellaneous / Lifestyle
Personal Finance,Miscellaneous / Lifestyle
Money,Miscellaneous / Lifestyle
Personal Development,Miscellaneous / Lifestyle
Plays,Miscellaneous / Lifestyle
Theatre,Miscellaneous / Lifestyle
Irish Literature,European / International Literature
Comedy,Humor / Satire
Chapter Books,Children / Middle Grade
Jewish,Religion / Spirituality
Legal Thriller,Mystery / Thriller
Suspense,Mystery / Thriller
Crime,Mystery / Thriller
Espionage,Mystery / Thriller
Environment,Travel / Geography / Nature
Conservation,Travel / Geography / Nature
Space Opera,Fantasy / Sci-Fi
Speculative Fiction,Fantasy / Sci-Fi
Space,Fantasy / Sci-Fi
Autobiography,Biography / Memoir
Vampires,Fantasy / Sci-Fi
Supernatural,Fantasy / Sci-Fi
Urban Fantasy,Fantasy / Sci-Fi
Military History,Nonfiction / History
Japanese Literature,European / International Literature
Asian Literature,European / International Literature
Education,Education / School
Teaching,Education / School
Time Travel,Fantasy / Sci-Fi
Cooking,Miscellaneous / Lifestyle
Cookbooks,Miscellaneous / Lifestyle
Popular Science,Science / Popular Science
Atheism,Religion / Spirituality
Christian Fiction,Religion / Spirituality
Christian,Religion / Spirituality
Christian Romance,Religion / Spirituality
Faith,Religion / Spirituality
Indian Literature,European / International Literature
Health,Miscellaneous / Lifestyle
Health Care,Miscellaneous / Lifestyle
Detective,Mystery / Thriller
Murder Mystery,Mystery / Thriller
